R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.207617146708071,206,339,730339,58,62,68,76,86,96,104,
0.824525831639767,221,494,643584,195,209,234,265,309.25,358,391,
0.102509733662009,6,309,675349,40.95,43,48,55,63.25,73,79,
0.891622631438077,94,72,50647,315.9,348,436,578.5,770.25,983.1,1094.75,
0.106160466559231,243,1,594088,51,53,59,65,73,83,90,
0.15632719937712,463,2,798012,60,63,68,75,85,96,104,
0.635869920812547,417,18,906554,112,118,131,147,169,195,212,
0.25894564781338,413,2,844908,67,69,76,85,96,106,116.05,
0.828794247284532,222,132,996800,150,161,183,213.5,252,290,318,
0.878737375698984,483,403,47826,520.9,559,641,762,906.25,1061.1,1164.35,
0.471142766624689,498,14,432506,95,100,109,124,139.25,159,173.1,
0.364321718551219,497,402,80494,88,92,100,111,125,140,153,
0.667177730984986,469,29,12683,162,172,188,212,244.25,282,307,
0.89925291556865,184,394,173497,430.95,464.9,536,657,809.25,975.2,1079.65,
0.290006406418979,488,99,886479,71,74,80,89,101,113,121,
0.306426682509482,258,335,990609,67,70,77,87,99,112,121,
0.107725337706506,23,268,24225,42,45,50,58,66,76,83,
0.549787318147719,295,498,418889,110,115,126,142,161,183,199,
0.131956785917282,88,37,35974,44,46,51,58,68.25,78,86.05,
0.809024121798575,306,317,800071,175.95,187,205,234,267,313.1,347.05,
0.349097348377109,444,155,68984,82,86,94,106,120,135.1,147.05,
0.427773733064532,203,34,18852,77,83,91,104,121,138,147.05,
0.598328473232687,219,324,188333,118,125,139,159,183,210.1,232,
0.702151882648468,300,418,11229,181.95,190,214,244,284,329,367,
0.368887864798307,108,296,974471,65,69,76,87,100,113,121,
0.100469869561493,197,497,897995,54,56,61,68,75,85,90,
0.886724381707609,390,436,335650,356.95,380.9,425,491,585,689,751.2,
0.154395874030888,434,368,871519,61,64,70,76,86,97,104,
0.181617332808673,279,270,62518,61,64,70,78,87,98,107,
0.826243662461638,37,3,263362,96,106,137.75,182,245.25,315,371.1,
0.898046620562673,380,355,14971,687.95,742.9,865.75,1049.5,1262.5,1558.5,1767.25,
0.554291584342718,491,499,991491,107,112,122,135,152,174,189,
0.681668381392956,476,401,432132,154,162,178,201,231,262,285.1,
0.141142269037664,36,369,931243,47,50,55,61,70,80.1,90,
0.101300030387938,86,365,996141,48,51,55,62,69,78.1,85,
0.258922085724771,255,201,449918,65,67.9,74,82,93,106,115,
0.112302102334797,194,2,999876,49,51,56,63,72,82,88,
0.525362042151391,104,221,584724,84,89,97.75,112,131,149,165,
0.479672472178936,484,495,11516,109,116,126,141,162,183,198,
0.529060752503574,8,147,161974,66,73,85,99,120,147,162.05,
0.138924802094698,493,89,96709,61,64,69,76,86,98,105,
0.705263569205999,429,246,523246,150,158.9,177,202,232.25,267.1,300.05,
0.289384013786912,455,2,990147,69,72,79,87,98,110,117,
0.608815360069275,470,446,15467,144,152.9,168.75,188,212,241,263.2,
0.715980328805745,3,20,127507,37,44,61,86,119,164,194.05,
0.148046648874879,25,82,968817,37,39,44,51,60,73,80,
0.612109593488276,144,188,982842,91,97,111,125,142,165,183.05,
0.89865501280874,181,341,625960,242.95,262.9,302,352,421,487.1,546.05,
0.103701331093907,497,291,383017,59,62,67,73,81,91,98,
0.890621802397072,473,39,698379,249,264,298,346,402.25,477.1,521,
0.276904109679163,489,325,134700,76,79,86,95,106,120,128.05,
